City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description
292,Svetlogorsk,BY,52.6333,29.7333,60.15,43,1,5.57,clear sky
293,Rupert,US,42.6191,-113.6772,60.69,54,1,0.0,clear sky
294,Sao Filipe,CV,14.8961,-24.4956,79.88,79,49,8.05,scattered clouds
295,Tuatapere,NZ,-46.1333,167.6833,40.82,84,75,4.03,broken clouds
296,Waipawa,NZ,-41.4122,175.5153,46.02,84,100,18.95,light rain
297,Chapais,CA,49.7834,-74.8492,41.16,97,17,4.34,few clouds
298,Morant Bay,JM,17.8815,-76.4093,74.66,86,87,8.81,overcast clouds
299,Svetlyy Yar,RU,48.4748,44.781,65.8,25,3,11.72,clear sky
300,Adrar,MR,20.5022,-10.0711,90.3,21,74,12.59,broken clouds
301,Ca Mau,VN,9.1769,105.15,84.43,67,76,5.46,broken clouds
302,Talaya,RU,61.3833,152.75,44.24,74,3,3.76,clear sky
303,Payo,ID,-3.7508,103.6372,89.42,53,24,3.49,few clouds
304,Umm Lajj,SA,25.0213,37.2685,86.65,62,31,13.76,scattered clouds
305,Atar,MR,20.5169,-13.0499,91.06,23,5,8.01,clear sky
306,Wanaka,NZ,-44.7,169.15,38.08,93,67,5.5,broken clouds
307,Shenkursk,RU,62.1091,42.896,46.62,60,93,10.04,overcast clouds
308,Plaeng Yao,TH,13.5847,101.284,87.53,80,100,7.74,overcast clouds
309,Severo-Kurilsk,RU,50.6789,156.125,48.88,83,4,8.25,clear sky
310,Aden,YE,12.7794,45.0367,88.12,75,45,16.31,scattered clouds
311,Marawi,PH,7.9986,124.2928,66.65,94,99,2.19,moderate rain
312,Hilo,US,19.7297,-155.09,78.28,94,90,9.22,very heavy rain
313,San Quintin,MX,30.4833,-115.95,67.6,83,0,11.25,clear sky
314,Byron Bay,AU,-28.65,153.6167,62.06,67,1,11.52,clear sky
315,Akyab,MM,20.15,92.9,84.02,75,99,6.29,heavy intensity rain
316,Anchorage,US,61.2181,-149.9003,47.64,86,90,5.01,light rain
317,Touros,BR,-5.1989,-35.4608,74.3,86,63,12.53,broken clouds
318,Mogadishu,SO,2.0371,45.3438,81.12,77,56,16.8,broken clouds
319,Kaabong,UG,3.4836,34.1492,76.51,51,55,11.5,light rain
320,Margate,GB,51.3813,1.3862,66.96,81,59,4.94,broken clouds
321,Manggar,ID,-2.8833,108.2667,83.89,70,38,9.01,scattered clouds
322,Sola,VU,-13.8833,167.55,79.21,77,33,11.21,scattered clouds
323,Okakarara,NA,-20.5833,17.4333,83.55,9,0,3.98,clear sky
324,Serra Talhada,BR,-7.9919,-38.2983,67.33,87,0,7.29,clear sky
325,Nishihara,JP,26.1842,127.7558,85.28,74,20,10.36,few clouds
326,San Andres,CO,12.5847,-81.7006,80.62,89,40,5.75,scattered clouds
327,Xihe,CN,31.6864,113.4659,86.07,51,20,9.28,few clouds
328,Yerbogachen,RU,61.2767,108.0108,43.75,70,100,4.61,overcast clouds
329,Ongandjera,NA,-17.8833,15.0667,82.56,12,5,4.72,clear sky
330,Krasnaya Gora,RU,52.9995,31.6023,57.11,51,5,3.47,clear sky
331,Hovd,MN,48.0056,91.6419,69.13,17,99,5.03,overcast clouds
332,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,72,9,2.44,clear sky
333,Maceio,BR,-9.6658,-35.7353,72.84,100,40,3.44,scattered clouds
334,Mahon,ES,39.8885,4.2658,77.56,69,40,16.11,scattered clouds
335,Acapulco,MX,16.8634,-99.8901,78.03,88,100,3.15,overcast clouds
336,Pontianak,ID,-0.0333,109.3333,81.7,77,83,7.61,broken clouds
337,Mackay,AU,-21.15,149.2,68.04,66,1,6.6,clear sky
338,Qurayyat,SA,31.3318,37.3428,83.23,37,0,9.04,clear sky
339,Susurluk,TR,39.9136,28.1578,79.29,43,49,9.84,scattered clouds
340,Laguna,US,38.421,-121.4238,68.76,84,1,3.0,clear sky
341,San Juan Evangelista,MX,17.9,-95.1333,75.72,89,51,7.27,broken clouds
342,Lisakovsk,KZ,52.5369,62.4936,65.08,32,11,16.93,few clouds
343,Southbridge,US,42.0751,-72.0334,68.94,96,100,2.59,moderate rain
344,Vao,NC,-22.6667,167.4833,69.21,59,14,18.59,few clouds
345,Bilma,NE,18.6853,12.9164,97.48,15,40,13.0,scattered clouds
346,Vardo,NO,70.3705,31.1107,43.0,87,40,6.91,scattered clouds
