City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Mahabaleshwar,IN,2021-09-16 08:22:15,17.9167,73.6667,68.13,77,96,9.89
179,Geraldton,AU,2021-09-16 08:19:16,-28.7667,114.6,64.81,52,40,17.27
180,Rio Grande,BR,2021-09-16 08:18:32,-32.035,-52.0986,50.32,81,0,6.55
181,Pevek,RU,2021-09-16 08:12:58,69.7008,170.3133,31.3,95,100,10.45
182,Bolshaya Rechka,RU,2021-09-16 08:22:16,51.9503,104.7355,68.27,49,51,1.52
183,Plettenberg Bay,ZA,2021-09-16 08:22:17,-34.0527,23.3716,53.6,87,100,2.53
184,Henties Bay,NA,2021-09-16 08:22:18,-22.116,14.2845,53.85,71,0,6.42
185,Ahuimanu,US,2021-09-16 08:22:18,21.4447,-157.8378,78.51,76,20,3.44
186,Aitape,PG,2021-09-16 08:22:19,-3.1374,142.3475,77.16,90,100,8.25
187,Andra,RU,2021-09-16 08:22:20,62.5147,65.8878,44.83,77,100,17.02
188,Faya,SA,2021-09-16 08:22:20,18.3851,42.4509,82.51,28,12,6.22
189,Puerto Escondido,MX,2021-09-16 08:22:21,15.85,-97.0667,79.05,88,27,4.38
190,Poronaysk,RU,2021-09-16 08:22:22,49.2167,143.1167,59.99,73,67,14.88
191,Vestmannaeyjar,IS,2021-09-16 08:14:37,63.4427,-20.2734,52.79,100,75,12.66
192,Kailua,US,2021-09-16 08:18:38,21.4022,-157.7394,78.78,71,8,8.48
193,Moose Factory,CA,2021-09-16 08:19:28,51.2585,-80.6094,48.2,87,1,9.22
194,Amahai,ID,2021-09-16 08:22:24,-3.3333,128.9167,80.26,81,97,5.35
195,Half Moon Bay,US,2021-09-16 08:15:25,37.4636,-122.4286,59.7,87,90,1.01
196,Clyde River,CA,2021-09-16 08:19:00,70.4692,-68.5914,28.9,76,72,1.7
197,Qaqortoq,GL,2021-09-16 08:19:07,60.7167,-46.0333,34.3,55,100,2.8
198,Rawson,AR,2021-09-16 08:10:51,-43.3002,-65.1023,50.83,57,0,12.03
199,Kpandu,GH,2021-09-16 08:22:26,6.9954,0.2931,76.06,85,99,1.28
200,La Asuncion,VE,2021-09-16 08:22:27,11.0333,-63.8628,80.06,88,6,12.91
